[  2023-06-27 화요일 09:04:38 179 ] 파일 생성 성공
[ default 2023-06-27 화요일 15:19:42 926 ] CameraControl -> SetEnableImageCallback 
[ default 2023-06-27 화요일 15:19:42 941 ] CameraControl -> Start 
[ default 2023-06-27 화요일 15:19:43 522 ] CameraControl -> CameraOpen 
[ default 2023-06-27 화요일 15:19:43 552 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-06-27 화요일 15:19:43 552 ] CameraControl -> CameraOpen 
[ default 2023-06-27 화요일 15:19:43 585 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-06-27 화요일 15:19:44 484 ] Settings_Page -> XMLSave 
[ default 2023-06-27 화요일 15:19:44 511 ] VideoCheck_Page -> PanelSettings 
[ default 2023-06-27 화요일 15:19:44 650 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-06-27 화요일 15:19:45 560 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 15:19:45 567 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 15:19:45 570 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 15:19:45 571 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 15:19:45 574 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 15:19:45 575 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 15:19:45 604 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 15:19:45 616 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 15:19:45 618 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 15:19:45 619 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 15:19:45 620 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 15:19:45 621 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 15:19:45 621 ] Settings_Page -> WorkUserSet 
[ default 2023-06-27 화요일 16:35:51 956 ] 프로그램 시작
[ default 2023-06-27 화요일 16:35:54 273 ] Form1 -> Form1_Shown 
[ default 2023-06-27 화요일 16:35:54 823 ] RealTimeView_Page -> PanelSettings 
[ default 2023-06-27 화요일 16:35:55 294 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-06-27 화요일 16:35:55 295 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-06-27 화요일 16:35:55 296 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-06-27 화요일 16:35:55 301 ] Settings_Page -> XMLSave 
[ default 2023-06-27 화요일 16:35:55 304 ] CameraControl -> CameraOpen 
[ default 2023-06-27 화요일 16:35:55 516 ] CameraControl -> open 
[ default 2023-06-27 화요일 16:35:55 562 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-06-27 화요일 16:35:55 576 ] CameraControl -> SetEnableImageCallback 
[ default 2023-06-27 화요일 16:35:55 580 ] CameraControl -> Start 
[ default 2023-06-27 화요일 16:35:56 156 ] CameraControl -> CameraOpen 
[ default 2023-06-27 화요일 16:35:56 194 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-06-27 화요일 16:35:56 194 ] CameraControl -> CameraOpen 
[ default 2023-06-27 화요일 16:35:56 197 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-06-27 화요일 16:35:57 041 ] Settings_Page -> XMLSave 
[ default 2023-06-27 화요일 16:35:57 066 ] VideoCheck_Page -> PanelSettings 
[ default 2023-06-27 화요일 16:35:57 176 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-06-27 화요일 16:35:58 026 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 16:35:58 038 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 16:35:58 038 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 16:35:58 038 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 16:35:58 046 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 16:35:58 048 ] Settings_Page -> WorkUserChange 
[ default 2023-06-27 화요일 16:35:58 087 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 16:35:58 088 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 16:35:58 089 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 16:35:58 089 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 16:35:58 156 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 16:35:58 157 ] Settings_Page -> WorkTargetChange 
[ default 2023-06-27 화요일 16:35:58 157 ] Settings_Page -> WorkUserSet 
