[ 2023-04-18 화요일 17:35:57 374 ] CameraControl -> Finalize 
[ 2023-04-18 화요일 17:35:57 374 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:39:24 512 ] 프로그램 시작
[ 2023-04-18 화요일 17:39:26 849 ] Form1 -> Form1_Shown 
[ 2023-04-18 화요일 17:39:27 622 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-18 화요일 17:39:27 942 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-18 화요일 17:39:27 943 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-18 화요일 17:39:27 944 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-18 화요일 17:39:27 945 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:39:27 946 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:39:28 222 ] CameraControl -> open 
[ 2023-04-18 화요일 17:39:28 260 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:39:28 276 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:39:28 288 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:39:28 444 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:39:29 021 ] CameraControl -> open 
[ 2023-04-18 화요일 17:39:29 031 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:39:29 038 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:39:29 040 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:39:29 082 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:39:29 441 ] CameraControl -> open 
[ 2023-04-18 화요일 17:39:29 454 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:39:29 460 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:39:29 463 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:39:29 523 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:39:29 571 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-18 화요일 17:39:29 657 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-18 화요일 17:39:33 631 ] Form1 -> Form1_FormClosing 
[ 2023-04-18 화요일 17:39:33 642 ] RealTimeView_Page -> CameraClose 
[ 2023-04-18 화요일 17:39:33 837 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:39:35 211 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:39:35 312 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:39:36 670 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:39:36 774 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:39:37 105 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:39:37 175 ] VideoCheck_Page -> VideoClose 
[ 2023-04-18 화요일 17:39:37 185 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-18 화요일 17:39:37 438 ] CameraControl -> Finalize 
[ 2023-04-18 화요일 17:39:37 438 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:39:37 440 ] CameraControl -> Finalize 
[ 2023-04-18 화요일 17:39:37 441 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:39:37 442 ] CameraControl -> Finalize 
[ 2023-04-18 화요일 17:39:37 442 ] CameraControl -> Close 
