[ default 2023-04-27 목요일 09:23:42 522 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:23:42 530 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:23:42 536 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:23:42 603 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:23:42 968 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:23:42 993 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:23:43 000 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:23:43 003 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:23:43 069 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 09:23:43 109 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:23:43 212 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:23:48 856 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:48 912 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 049 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 240 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 245 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 247 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 360 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 416 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 616 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 618 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 619 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 712 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 808 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 985 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:49 987 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:23:50 432 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 512 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 601 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 704 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 707 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 709 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 808 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 879 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 882 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:50 883 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 041 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 160 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 161 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 163 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 256 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 351 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 354 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 355 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:51 424 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:53 324 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:53 326 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:23:53 410 ] Settings_Page -> WorkUserSet 
[ default 2023-04-27 목요일 09:38:37 662 ] 프로그램 시작
[ default 2023-04-27 목요일 09:38:40 007 ] Form1 -> Form1_Shown 
[ default 2023-04-27 목요일 09:38:40 528 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:38:40 843 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-27 목요일 09:38:40 844 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-27 목요일 09:38:40 846 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-27 목요일 09:38:40 847 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 09:38:40 847 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:38:41 105 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:38:41 239 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:38:41 254 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:38:41 267 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:38:41 383 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:38:41 734 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:38:41 747 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:38:41 754 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:38:41 757 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:38:41 836 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:38:42 459 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:38:42 479 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:38:42 486 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:38:42 488 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:38:42 625 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 09:38:42 664 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:38:42 777 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:38:51 306 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:51 384 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:51 752 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:51 983 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:51 987 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:51 989 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 135 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 168 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 343 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 345 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 346 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 423 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 504 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 720 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:52 722 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:38:53 288 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 391 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 455 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 575 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 576 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 577 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 631 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 743 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 744 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 746 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 871 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 967 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 969 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:53 970 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:54 071 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:54 222 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:54 224 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:54 225 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:54 256 ] Settings_Page -> WorkTargetChange 
