[  2023-07-17 월요일 08:51:16 586 ] 파일 생성 성공
[ ㅓㅓ 2023-07-17 월요일 15:19:16 916 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-07-17 월요일 15:19:18 068 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-07-17 월요일 15:19:19 398 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-07-17 월요일 15:19:35 441 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:19:35 442 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 15:20:53 990 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:20:54 138 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-07-17 월요일 15:20:56 497 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:20:56 507 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 15:20:58 868 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:20:59 493 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:20:59 494 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 15:21:01 631 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:21:02 478 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:21:02 479 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 15:21:04 585 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:21:05 310 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:21:05 311 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 15:21:07 993 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:22:37 902 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:22:37 903 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 15:22:39 564 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:22:39 565 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 15:22:43 163 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 15:22:43 163 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 222 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 238 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 294 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 720 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 799 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 800 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 800 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 800 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 801 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-07-17 월요일 16:35:25 802 ] VideoAnalysis_Page -> VideoClose 
