[  2023-05-24 수요일 10:36:04 688 ] 파일 생성 성공
[ ㅓㅓ 2023-05-24 수요일 10:36:04 687 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-24 수요일 10:36:06 290 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-24 수요일 10:36:06 493 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-05-24 수요일 12:45:48 627 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-24 수요일 12:45:48 705 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-05-24 수요일 12:45:53 156 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-05-24 수요일 14:05:59 407 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-24 수요일 14:05:59 415 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-05-24 수요일 14:06:02 817 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-24 수요일 14:06:02 817 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-05-24 수요일 16:59:25 949 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-24 수요일 16:59:25 953 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-05-24 수요일 17:01:40 048 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-24 수요일 18:02:21 719 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-05-24 수요일 18:02:21 729 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-05-24 수요일 18:02:21 743 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 176 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 226 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 226 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 226 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 227 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 228 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 228 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 668 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 668 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 668 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 668 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 668 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-24 수요일 18:02:22 668 ] CameraControl -> Close 
