[  2023-07-14 금요일 10:37:17 929 ] 파일 생성 성공
[ ㅓㅓ 2023-07-14 금요일 10:37:17 929 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-14 금요일 10:37:20 248 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 10:37:27 877 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 10:37:28 212 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 668 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 680 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 684 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 757 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 786 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 786 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 786 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 786 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 786 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 786 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 987 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-14 금요일 10:37:32 987 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 10:37:33 003 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-14 금요일 10:37:33 003 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 10:37:33 003 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-14 금요일 10:37:33 003 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 10:38:43 190 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-14 금요일 10:38:50 844 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 10:38:59 013 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 10:38:59 257 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-07-14 금요일 10:39:27 059 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 10:39:27 063 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-14 금요일 10:39:35 896 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 11:15:25 650 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 11:15:25 650 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-14 금요일 11:16:54 222 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 17:29:38 392 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 17:29:38 392 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-14 금요일 17:31:14 571 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-14 금요일 17:31:14 672 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-07-14 금요일 18:01:39 873 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-14 금요일 18:01:39 884 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-14 금요일 18:01:40 007 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-14 금요일 18:01:40 136 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 18:01:40 167 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-14 금요일 18:01:40 167 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 18:01:40 167 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-14 금요일 18:01:40 167 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-14 금요일 18:01:40 167 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-07-14 금요일 18:01:40 167 ] VideoAnalysis_Page -> VideoClose 
