[  2023-07-04 화요일 09:44:34 819 ] 파일 생성 성공
[ ㅓㅓ 2023-07-04 화요일 09:44:34 819 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-04 화요일 09:44:36 398 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:17 301 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:17 474 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-07-04 화요일 09:46:18 644 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:18 646 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 09:46:22 162 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:23 387 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:23 388 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 09:46:28 507 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:29 628 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:29 635 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 09:46:34 402 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:35 506 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:35 507 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 09:46:41 345 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:41 478 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-07-04 화요일 09:46:42 614 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:46:42 617 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 09:47:30 559 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:47:33 010 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:47:33 010 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 09:47:37 626 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:48:16 089 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:48:16 090 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 09:49:01 621 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:49:02 590 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 09:49:02 591 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 09:49:07 762 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 17:21:29 716 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 17:21:29 718 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 17:21:31 127 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 17:21:31 127 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 17:59:21 320 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-04 화요일 17:59:21 333 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-04 화요일 17:59:38 877 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-04 화요일 17:59:38 883 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-04 화요일 17:59:38 949 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-04 화요일 17:59:39 090 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-04 화요일 17:59:39 135 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-04 화요일 17:59:39 135 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-04 화요일 17:59:39 135 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-04 화요일 17:59:39 135 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-04 화요일 17:59:39 135 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-07-04 화요일 17:59:39 135 ] VideoAnalysis_Page -> VideoClose 
