[  2023-07-20 목요일 08:59:35 320 ] 파일 생성 성공
[ ㅓㅓ 2023-07-20 목요일 08:59:35 318 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-20 목요일 08:59:37 914 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 181 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 188 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 329 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 452 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 488 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 488 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 488 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 488 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 488 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 488 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 719 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 719 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 737 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 737 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 737 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 09:02:45 737 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 10:39:12 592 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-20 목요일 10:39:14 198 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-20 목요일 10:40:58 812 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-20 목요일 10:41:00 030 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 653 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 664 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 797 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 900 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 922 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 922 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 922 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 922 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 923 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-07-20 목요일 10:45:21 923 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-07-20 목요일 10:45:22 119 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 10:45:22 119 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 10:45:22 125 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 10:45:22 125 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 10:45:22 126 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 10:45:22 126 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 10:54:46 093 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-20 목요일 10:54:47 256 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-20 목요일 11:02:41 776 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-20 목요일 11:02:42 985 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-20 목요일 11:08:13 712 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-20 목요일 11:08:13 717 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-20 목요일 11:08:13 720 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 027 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 064 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 064 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 064 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 064 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 065 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 066 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 322 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 322 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 330 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 330 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 330 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 11:08:15 330 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 11:09:13 347 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-20 목요일 11:09:14 867 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-20 목요일 15:25:19 274 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-07-20 목요일 15:25:19 292 ] RealTimeView_Page -> Camera_Info 
[ ㅓㅓ 2023-07-20 목요일 16:12:07 305 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-20 목요일 16:12:07 587 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 649 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 661 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 711 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 830 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 934 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 934 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 934 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 934 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 934 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-07-20 목요일 18:01:18 934 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-07-20 목요일 18:01:19 283 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 18:01:19 283 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 18:01:19 321 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 18:01:19 321 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-20 목요일 18:01:19 321 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-07-20 목요일 18:01:19 321 ] CameraControl -> Close 
