[  2023-06-22 목요일 09:12:59 880 ] 파일 생성 성공
[ ㅓㅓ 2023-06-22 목요일 09:12:59 879 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-22 목요일 09:13:01 726 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-22 목요일 09:13:01 842 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-06-22 목요일 09:16:00 883 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-06-22 목요일 09:16:00 889 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-06-22 목요일 09:16:00 891 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-22 목요일 09:16:02 171 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-22 목요일 09:16:02 188 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-22 목요일 09:16:02 188 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-22 목요일 09:16:02 188 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-22 목요일 09:16:02 188 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-22 목요일 09:16:02 188 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-06-22 목요일 09:16:02 188 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-06-22 목요일 09:21:12 964 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-22 목요일 09:21:20 266 ] Settings_Page -> WorkUserReWrite 
[ ㅓㅓ 2023-06-22 목요일 09:21:20 278 ] Settings_Page -> WorkUserChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:20 279 ] Settings_Page -> WorkTargetChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 298 ] Settings_Page -> WorkUserChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 438 ] Settings_Page -> WorkUserChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 440 ] Settings_Page -> WorkUserChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 441 ] Settings_Page -> WorkUserChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 544 ] Settings_Page -> WorkUserChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 551 ] Settings_Page -> WorkUserChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 663 ] Settings_Page -> WorkTargetChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 797 ] Settings_Page -> WorkTargetChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 799 ] Settings_Page -> WorkTargetChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:23 799 ] Settings_Page -> WorkTargetChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:24 110 ] Settings_Page -> WorkTargetChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:24 112 ] Settings_Page -> WorkTargetChange 
[ ㅓㅓ 2023-06-22 목요일 09:21:24 112 ] Settings_Page -> WorkUserSet 
[ ㅓㅓ 2023-06-22 목요일 09:21:24 130 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-22 목요일 09:21:29 792 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-22 목요일 09:21:29 917 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-06-22 목요일 09:21:32 701 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-22 목요일 09:21:33 482 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 09:21:33 482 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-06-22 목요일 09:21:45 497 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 09:21:45 505 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 09:32:07 979 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-22 목요일 09:33:11 386 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-22 목요일 09:33:11 530 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-06-22 목요일 09:33:13 215 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-22 목요일 09:33:13 795 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 09:33:13 795 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-06-22 목요일 09:33:24 786 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 09:33:24 790 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 09:33:25 692 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 09:33:25 697 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 11:20:32 239 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 11:20:32 241 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 11:20:34 430 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 11:20:34 430 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 13:39:33 072 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 13:39:33 072 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 13:42:10 569 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 13:42:10 576 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 13:42:39 212 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 13:42:39 212 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 13:43:07 146 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-22 목요일 13:43:07 146 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-22 목요일 13:43:09 568 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
