[  2023-07-07 금요일 09:07:50 822 ] 파일 생성 성공
[ ㅓㅓ 2023-07-07 금요일 09:07:50 822 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-07 금요일 09:07:53 280 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:07:53 401 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-07-07 금요일 09:07:55 310 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:07:55 311 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:08:29 611 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:29 800 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-07-07 금요일 09:08:30 564 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:30 569 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:08:36 516 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:37 317 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:37 317 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:08:40 293 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:41 313 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:41 314 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:08:48 836 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:49 853 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:49 853 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:08:52 357 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:53 589 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:53 589 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:08:56 255 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:57 621 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:57 621 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:08:57 881 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:08:57 889 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:00 254 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:01 070 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:01 070 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:03 395 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:04 268 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:04 269 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:06 775 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:07 609 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:07 611 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:09 969 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:10 607 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:10 607 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:13 403 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:14 227 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:14 228 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:26 637 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:27 506 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:27 506 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:29 981 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:30 912 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:30 913 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:33 505 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:34 456 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:34 456 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:37 075 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:37 843 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 09:09:37 843 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 09:09:40 752 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 17:17:34 229 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 17:17:34 231 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-07 금요일 17:20:31 033 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 17:25:18 456 ] Settings_Page -> FolderOpen 
[ ㅓㅓ 2023-07-07 금요일 17:26:12 564 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-07 금요일 17:58:40 455 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-07-07 금요일 17:58:40 470 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-07-07 금요일 17:58:40 603 ] CameraControl -> Stop 
[ ㅓㅓ 2023-07-07 금요일 17:58:40 987 ] CameraControl -> Close 
[ ㅓㅓ 2023-07-07 금요일 17:58:41 031 ] CameraControl -> Stop 
