[  2023-06-27 화요일 09:04:46 564 ] 파일 생성 성공
[ ㅓㅓ 2023-06-27 화요일 09:04:46 564 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-27 화요일 09:04:47 903 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 265 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 271 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 273 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 407 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 479 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 480 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 480 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 480 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 481 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-06-27 화요일 10:45:39 482 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-06-27 화요일 10:46:10 096 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-27 화요일 10:46:11 689 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-27 화요일 13:17:43 428 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-27 화요일 13:17:43 599 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-06-27 화요일 13:17:50 722 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-27 화요일 13:17:50 722 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-06-27 화요일 13:50:37 211 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-27 화요일 13:50:37 233 ] RealTimeView_Page -> ImageSaveAction 
[ ㅓㅓ 2023-06-27 화요일 13:50:37 233 ] RealTimeView_Page -> FolderPath 
