[  2023-05-19 금요일 14:25:06 729 ] 파일 생성 성공
[ ㅓㅓ 2023-05-19 금요일 14:25:06 729 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-19 금요일 14:25:11 380 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 744 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 755 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 757 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 758 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 758 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 758 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 758 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 759 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 759 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:25:18 761 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:25:19 022 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:25:19 025 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:25:19 027 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:25:19 027 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:25:19 027 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:25:19 027 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:26:33 634 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-19 금요일 14:26:35 140 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 464 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 472 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 474 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 475 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 475 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 475 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 475 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 475 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 476 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 476 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 641 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 645 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 651 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 651 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 660 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:26:46 660 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:26:58 472 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-19 금요일 14:27:00 048 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 154 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 162 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 162 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 163 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 163 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 163 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 163 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 164 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 164 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 165 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 350 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 350 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 353 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 353 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 353 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:27:03 361 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:27:54 487 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-19 금요일 14:27:56 492 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 690 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 696 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 791 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 852 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 873 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 874 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 874 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 874 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 875 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:30:42 875 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:30:43 000 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:30:43 000 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:30:43 000 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:30:43 000 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:30:43 000 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:30:43 000 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:31:04 239 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-19 금요일 14:31:05 939 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-19 금요일 14:31:10 160 ] RealTimeView_Page -> RealTimeView_CamActions 
[ ㅓㅓ 2023-05-19 금요일 14:31:13 002 ] RealTimeView_Page -> RealTimeView_CamActions 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 029 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 036 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 126 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 435 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 454 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 454 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 454 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 454 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 454 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 454 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 589 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 589 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 589 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 589 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 589 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-19 금요일 14:33:51 589 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-19 금요일 14:37:29 664 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-19 금요일 14:37:31 252 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-19 금요일 14:37:35 671 ] RealTimeView_Page -> RealTimeView_CamActions 
[ ㅓㅓ 2023-05-19 금요일 14:38:39 208 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-19 금요일 14:38:39 475 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-05-19 금요일 14:38:41 155 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-19 금요일 14:38:41 162 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-05-19 금요일 14:38:46 369 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-05-19 금요일 15:03:47 876 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-19 금요일 15:03:47 880 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-05-19 금요일 15:03:50 687 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-19 금요일 15:03:50 687 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-05-19 금요일 15:04:16 995 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-19 금요일 15:04:16 997 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-05-19 금요일 15:04:24 143 ] RealTimeView_Page -> RealTimeView_CamActions 
[ ㅓㅓ 2023-05-19 금요일 15:04:44 039 ] RealTimeView_Page -> RealTimeView_ButtonActions 
