[  2023-07-06 목요일 09:01:45 197 ] 파일 생성 성공
[ ㅓㅓ 2023-07-06 목요일 09:01:45 197 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-06 목요일 09:01:46 913 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:01:55 683 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:01:55 886 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-07-06 목요일 09:02:05 502 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:02:05 503 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:02:49 906 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:02:50 116 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-07-06 목요일 09:02:51 066 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:02:51 067 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:02:54 286 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:02:59 651 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:02:59 652 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:05:15 367 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:20 189 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:20 189 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:05:22 804 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:23 772 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:23 773 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:05:25 929 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:26 907 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:26 908 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:05:29 479 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:30 461 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:30 463 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:05:32 769 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:33 827 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:33 827 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:05:34 147 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:05:34 147 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:05:41 538 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:06:44 215 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:06:44 215 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:17:05 246 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:17:15 528 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:17:15 529 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:52:37 763 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:54:12 346 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:54:12 347 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:54:55 051 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:54:59 079 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:54:59 079 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:55:01 275 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:55:02 257 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 09:55:02 258 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-06 목요일 09:55:05 049 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-06 목요일 10:06:03 165 ] Form1 -> NavigationClick 
