[  2023-06-23 금요일 11:33:55 907 ] 파일 생성 성공
[ ㅓㅓ 2023-06-23 금요일 11:33:55 906 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-23 금요일 11:33:58 120 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 11:33:58 249 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-06-23 금요일 11:34:00 131 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-23 금요일 11:34:00 675 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 11:34:00 678 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-06-23 금요일 16:44:00 209 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 16:44:00 231 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-23 금요일 16:45:50 039 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 16:45:50 039 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-23 금요일 16:46:30 522 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 16:46:30 523 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-23 금요일 16:48:22 535 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 17:44:27 196 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 17:44:27 197 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-23 금요일 17:44:32 127 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 17:44:34 770 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-23 금요일 17:44:37 512 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-23 금요일 17:44:43 662 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 17:44:43 662 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-23 금요일 17:44:45 867 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 17:44:55 300 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 17:44:55 300 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-23 금요일 17:44:59 213 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 17:44:59 213 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-23 금요일 17:45:01 035 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 17:45:01 036 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-23 금요일 17:45:13 123 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-23 금요일 17:45:13 135 ] RealTimeView_Page -> VideoSaveAction 
[ ㅓㅓ 2023-06-23 금요일 17:45:13 137 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-23 금요일 17:45:13 479 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-23 금요일 17:45:13 638 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-23 금요일 17:45:31 350 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-23 금요일 17:45:31 960 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-23 금요일 17:45:35 732 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-23 금요일 17:45:38 139 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 17:45:38 140 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-23 금요일 17:45:39 673 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 17:45:39 673 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-23 금요일 17:45:40 580 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 17:45:40 580 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-06-23 금요일 17:45:49 564 ] VideoAnalysis_Page -> VideoCheck_FileClose1 
[ ㅓㅓ 2023-06-23 금요일 17:45:58 190 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 17:45:58 190 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-23 금요일 17:46:01 549 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-23 금요일 17:46:01 550 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-24 토요일 00:00:00 067 ] Settings_Page -> WorkDayChange 
[ ㅓㅓ 2023-06-24 토요일 00:00:00 068 ] Settings_Page -> XMLSave 
