[  2023-05-09 화요일 09:29:52 472 ] 파일 생성 성공
[ 커피 2023-05-09 화요일 09:54:38 183 ] CameraControl -> Stop 
[ 커피 2023-05-09 화요일 09:54:39 499 ] CameraControl -> Close 
[ 커피 2023-05-09 화요일 09:54:39 558 ] CameraControl -> Stop 
[ 커피 2023-05-09 화요일 09:54:39 914 ] CameraControl -> Close 
[ 커피 2023-05-09 화요일 09:54:39 973 ] VideoCheck_Page -> VideoClose 
[ 커피 2023-05-09 화요일 09:54:39 974 ] VideoAnalysis_Page -> VideoClose 
[ 커피 2023-05-09 화요일 10:00:33 725 ] Settings_Page -> XMLSave 
[ 커피 2023-05-09 화요일 10:00:35 622 ] Form1 -> NavigationClick 
[ 커피 2023-05-09 화요일 10:00:35 906 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 커피 2023-05-09 화요일 10:00:38 198 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:00:38 220 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커피 2023-05-09 화요일 10:00:48 871 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:00:59 760 ] VideoAnalysis_Page -> FilterClick StartIndex는 0 이상이어야 합니다.
매개 변수 이름: startIndex
[ 커피 2023-05-09 화요일 10:01:01 250 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:01:01 252 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:01:02 794 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:01:03 156 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:01:03 570 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:01:04 880 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:01:09 530 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:01:09 532 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:01:33 080 ] Form1 -> Form1_FormClosing 
[ 커피 2023-05-09 화요일 10:01:33 093 ] RealTimeView_Page -> CameraClose 
[ 커피 2023-05-09 화요일 10:01:33 120 ] CameraControl -> Stop 
[ 커피 2023-05-09 화요일 10:01:34 540 ] CameraControl -> Close 
[ 커피 2023-05-09 화요일 10:01:34 607 ] CameraControl -> Stop 
[ 커피 2023-05-09 화요일 10:01:34 692 ] CameraControl -> Close 
[ 커피 2023-05-09 화요일 10:01:34 731 ] CameraControl -> Stop 
[ 커피 2023-05-09 화요일 10:01:35 129 ] CameraControl -> Close 
[ 커피 2023-05-09 화요일 10:01:35 155 ] VideoCheck_Page -> VideoClose 
[ 커피 2023-05-09 화요일 10:01:35 156 ] VideoAnalysis_Page -> VideoClose 
[ 커피 2023-05-09 화요일 10:05:26 523 ] Settings_Page -> XMLSave 
[ 커피 2023-05-09 화요일 10:05:28 132 ] Form1 -> NavigationClick 
[ 커피 2023-05-09 화요일 10:05:28 381 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 커피 2023-05-09 화요일 10:05:30 381 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:05:30 396 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커피 2023-05-09 화요일 10:05:40 941 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:06:04 310 ] VideoAnalysis_Page -> FilterClick StartIndex는 0 이상이어야 합니다.
매개 변수 이름: startIndex
[ 커피 2023-05-09 화요일 10:06:09 892 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:06:14 374 ] VideoAnalysis_Page -> FilterClick StartIndex는 0 이상이어야 합니다.
매개 변수 이름: startIndex
[ 커피 2023-05-09 화요일 10:06:15 614 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:06:17 206 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:06:27 449 ] VideoAnalysis_Page -> FilterClick StartIndex는 0 이상이어야 합니다.
매개 변수 이름: startIndex
[ 커피 2023-05-09 화요일 10:07:41 584 ] VideoAnalysis_Page -> FilterClick StartIndex는 0 이상이어야 합니다.
매개 변수 이름: startIndex
[ 커피 2023-05-09 화요일 10:13:41 067 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:13:41 070 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:13:42 402 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:13:43 717 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:13:50 540 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:13:50 541 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:14:17 766 ] Form1 -> Form1_FormClosing 
[ 커피 2023-05-09 화요일 10:14:17 775 ] RealTimeView_Page -> CameraClose 
[ 커피 2023-05-09 화요일 10:14:17 778 ] CameraControl -> Stop 
[ 커피 2023-05-09 화요일 10:14:19 158 ] CameraControl -> Close 
[ 커피 2023-05-09 화요일 10:14:19 207 ] CameraControl -> Stop 
[ 커피 2023-05-09 화요일 10:14:19 287 ] CameraControl -> Close 
[ 커피 2023-05-09 화요일 10:14:19 317 ] CameraControl -> Stop 
[ 커피 2023-05-09 화요일 10:14:19 682 ] CameraControl -> Close 
[ 커피 2023-05-09 화요일 10:14:19 710 ] VideoCheck_Page -> VideoClose 
[ 커피 2023-05-09 화요일 10:14:19 712 ] VideoAnalysis_Page -> VideoClose 
[ 커피 2023-05-09 화요일 10:17:27 693 ] Settings_Page -> XMLSave 
[ 커피 2023-05-09 화요일 10:17:30 024 ] Form1 -> NavigationClick 
[ 커피 2023-05-09 화요일 10:17:30 269 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 커피 2023-05-09 화요일 10:17:32 332 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:17:32 351 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커피 2023-05-09 화요일 10:17:44 358 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:17:47 345 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:17:47 356 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:19:47 663 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:19:50 294 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:19:54 137 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:20:01 344 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:20:01 349 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ 커피 2023-05-09 화요일 10:20:10 998 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:20:12 953 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:20:12 953 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:20:14 179 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:20:14 197 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:20:22 272 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:20:22 273 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:20:22 899 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
