[  2023-05-18 목요일 09:50:31 266 ] 파일 생성 성공
[ default 2023-05-18 목요일 16:25:59 395 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 16:25:59 520 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:25:59 912 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 16:25:59 913 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-18 목요일 16:25:59 914 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 16:25:59 915 ] Settings_Page -> XMLSave 
[ default 2023-05-18 목요일 16:26:00 946 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 16:26:00 975 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:26:01 147 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:26:03 348 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:26:03 446 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:26:03 449 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:26:03 450 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:26:03 602 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:26:03 604 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:26:04 023 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:26:04 151 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:26:04 155 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:26:04 157 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:26:04 336 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:26:04 342 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:26:04 344 ] Settings_Page -> WorkUserSet 
[ default 2023-05-18 목요일 16:31:35 968 ] 프로그램 시작
[ default 2023-05-18 목요일 16:31:38 360 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 16:31:38 485 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:31:38 891 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 16:31:38 891 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-18 목요일 16:31:38 892 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 16:31:38 893 ] Settings_Page -> XMLSave 
[ default 2023-05-18 목요일 16:31:40 288 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 16:31:40 346 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:31:40 496 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:31:42 987 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:31:43 061 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:31:43 066 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:31:43 067 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:31:43 178 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:31:43 183 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:31:43 367 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:31:43 484 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:31:43 487 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:31:43 487 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:31:43 878 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:31:43 882 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:31:43 883 ] Settings_Page -> WorkUserSet 
[ default 2023-05-18 목요일 16:58:27 845 ] 프로그램 시작
[ default 2023-05-18 목요일 16:58:30 227 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 16:58:30 898 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:58:31 245 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 16:58:31 246 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-18 목요일 16:58:31 247 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 16:58:31 248 ] Settings_Page -> XMLSave 
[ default 2023-05-18 목요일 16:58:31 249 ] CameraControl -> CameraOpen 
[ default 2023-05-18 목요일 16:58:31 591 ] CameraControl -> open 
[ default 2023-05-18 목요일 16:58:31 620 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-18 목요일 16:58:31 631 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-18 목요일 16:58:31 643 ] CameraControl -> Start 
[ default 2023-05-18 목요일 16:58:33 294 ] Form1 -> Form1_Shown 인덱스가 배열 범위를 벗어났습니다.
[ default 2023-05-18 목요일 16:58:37 986 ] Form1 -> Form1_FormClosing 
[ default 2023-05-18 목요일 16:58:37 993 ] RealTimeView_Page -> CameraClose 
[ default 2023-05-18 목요일 16:58:37 997 ] CameraControl -> Stop 
[ default 2023-05-18 목요일 16:58:38 384 ] CameraControl -> Close 
[ default 2023-05-18 목요일 16:58:38 533 ] CameraControl -> Finalize 
[ default 2023-05-18 목요일 16:58:38 534 ] CameraControl -> Close 
[ default 2023-05-18 목요일 16:58:47 211 ] 프로그램 시작
[ default 2023-05-18 목요일 16:58:49 630 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 16:58:50 192 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:58:50 582 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 16:58:50 583 ] RealTimeView_Page -> VideoSetLoad 
