[  2023-05-09 화요일 09:25:02 710 ] 파일 생성 성공
[ default 2023-05-09 화요일 09:25:02 709 ] 프로그램 시작
[ default 2023-05-09 화요일 09:25:05 161 ] Form1 -> Form1_Shown 
[ default 2023-05-09 화요일 09:25:06 392 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-09 화요일 09:25:06 758 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-09 화요일 09:25:06 759 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-09 화요일 09:25:06 760 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-09 화요일 09:25:06 761 ] Settings_Page -> XMLSave 
[ default 2023-05-09 화요일 09:25:06 762 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 09:25:07 023 ] CameraControl -> open 
[ default 2023-05-09 화요일 09:25:07 058 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 09:25:07 073 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 09:25:07 086 ] CameraControl -> Start 
[ default 2023-05-09 화요일 09:25:07 149 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 09:25:07 762 ] CameraControl -> open 
[ default 2023-05-09 화요일 09:25:07 776 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 09:25:07 785 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 09:25:07 788 ] CameraControl -> Start 
[ default 2023-05-09 화요일 09:25:07 834 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 09:25:08 192 ] CameraControl -> open 
[ default 2023-05-09 화요일 09:25:08 207 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 09:25:08 219 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 09:25:08 231 ] CameraControl -> Start 
[ default 2023-05-09 화요일 09:25:08 302 ] Settings_Page -> XMLSave 
[ default 2023-05-09 화요일 09:25:08 345 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-09 화요일 09:25:08 481 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-09 화요일 09:29:49 440 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:49 504 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:49 600 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:49 792 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:49 806 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:49 808 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:49 880 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:49 953 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:50 144 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:50 146 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:50 148 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:50 399 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:50 487 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:50 665 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:50 667 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 09:29:50 961 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 09:29:51 071 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 09:29:51 237 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 09:29:51 319 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 09:29:51 321 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 09:29:51 325 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 09:29:51 488 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 09:29:51 490 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 09:29:52 423 ] Settings_Page -> WorkUserSet 
[ default 2023-05-09 화요일 10:00:19 053 ] 프로그램 시작
[ default 2023-05-09 화요일 10:00:21 408 ] Form1 -> Form1_Shown 
[ default 2023-05-09 화요일 10:00:21 960 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-09 화요일 10:00:22 322 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-09 화요일 10:00:22 323 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-09 화요일 10:00:22 324 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-09 화요일 10:00:22 325 ] Settings_Page -> XMLSave 
[ default 2023-05-09 화요일 10:00:22 326 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 10:00:22 616 ] CameraControl -> open 
[ default 2023-05-09 화요일 10:00:22 649 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 10:00:22 666 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 10:00:22 677 ] CameraControl -> Start 
[ default 2023-05-09 화요일 10:00:22 741 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 10:00:23 026 ] CameraControl -> open 
[ default 2023-05-09 화요일 10:00:23 036 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 10:00:23 046 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 10:00:23 049 ] CameraControl -> Start 
[ default 2023-05-09 화요일 10:00:23 130 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 10:00:24 738 ] CameraControl -> open 
[ default 2023-05-09 화요일 10:00:24 753 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 10:00:24 763 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 10:00:24 767 ] CameraControl -> Start 
[ default 2023-05-09 화요일 10:00:24 860 ] Settings_Page -> XMLSave 
[ default 2023-05-09 화요일 10:00:24 898 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-09 화요일 10:00:25 006 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-09 화요일 10:00:28 760 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:28 816 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:28 976 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 238 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 242 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 243 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 360 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 423 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 607 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 608 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 609 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 712 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 767 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 935 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:29 937 ] Settings_Page -> WorkUserChange 
[ default 2023-05-09 화요일 10:00:31 496 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 10:00:31 591 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 10:00:31 726 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 10:00:31 790 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 10:00:31 793 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 10:00:31 794 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 10:00:32 031 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 10:00:32 033 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-09 화요일 10:00:33 673 ] Settings_Page -> WorkUserSet 
[ default 2023-05-09 화요일 10:03:45 449 ] 프로그램 시작
[ default 2023-05-09 화요일 10:03:47 813 ] Form1 -> Form1_Shown 
[ default 2023-05-09 화요일 10:03:48 573 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-09 화요일 10:03:48 893 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-09 화요일 10:03:48 894 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-09 화요일 10:03:48 895 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-09 화요일 10:03:48 896 ] Settings_Page -> XMLSave 
[ default 2023-05-09 화요일 10:03:48 897 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 10:03:49 178 ] CameraControl -> open 
[ default 2023-05-09 화요일 10:03:49 209 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 10:03:49 221 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 10:03:49 234 ] CameraControl -> Start 
[ default 2023-05-09 화요일 10:03:49 281 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 10:03:49 588 ] CameraControl -> open 
[ default 2023-05-09 화요일 10:03:49 598 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 10:03:49 610 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 10:03:49 613 ] CameraControl -> Start 
[ default 2023-05-09 화요일 10:03:49 658 ] CameraControl -> CameraOpen 
[ default 2023-05-09 화요일 10:03:50 115 ] CameraControl -> open 
[ default 2023-05-09 화요일 10:03:50 140 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-09 화요일 10:03:50 147 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-09 화요일 10:03:50 150 ] CameraControl -> Start 
[ default 2023-05-09 화요일 10:03:50 296 ] Settings_Page -> XMLSave 
[ default 2023-05-09 화요일 10:03:50 335 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-09 화요일 10:03:50 432 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-09 화요일 10:03:53 845 ] Form1 -> Form1_FormClosing 
[ default 2023-05-09 화요일 10:03:53 860 ] RealTimeView_Page -> CameraClose 
[ default 2023-05-09 화요일 10:03:53 868 ] CameraControl -> Stop 
[ default 2023-05-09 화요일 10:03:55 239 ] CameraControl -> Close 
[ default 2023-05-09 화요일 10:03:55 256 ] CameraControl -> Stop 
[ default 2023-05-09 화요일 10:03:55 351 ] CameraControl -> Close 
[ default 2023-05-09 화요일 10:03:55 366 ] CameraControl -> Stop 
[ default 2023-05-09 화요일 10:03:55 433 ] CameraControl -> Close 
[ default 2023-05-09 화요일 10:03:55 445 ] VideoCheck_Page -> VideoClose 
[ default 2023-05-09 화요일 10:03:55 446 ] VideoAnalysis_Page -> VideoClose 
[ default 2023-05-09 화요일 10:05:15 264 ] 프로그램 시작
[ default 2023-05-09 화요일 10:05:17 620 ] Form1 -> Form1_Shown 
[ default 2023-05-09 화요일 10:05:18 102 ] RealTimeView_Page -> PanelSettings 
