[  2023-05-15 월요일 09:07:38 223 ] 파일 생성 성공
[ default 2023-05-15 월요일 14:51:57 164 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-15 월요일 14:51:57 166 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-15 월요일 14:51:57 167 ] Settings_Page -> XMLSave 
[ default 2023-05-15 월요일 14:51:58 944 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 14:51:59 008 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-15 월요일 14:51:59 157 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-15 월요일 14:52:02 253 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:02 293 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:02 415 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:02 845 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:02 862 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:02 865 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:02 951 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 005 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 173 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 178 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 181 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 279 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 359 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 599 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 606 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 14:52:03 936 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 14:52:04 047 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 14:52:04 179 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 14:52:04 252 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 14:52:04 257 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 14:52:04 260 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 14:52:04 460 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 14:52:04 466 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 14:52:04 468 ] Settings_Page -> WorkUserSet 
[ default 2023-05-15 월요일 16:14:26 643 ] 프로그램 시작
[ default 2023-05-15 월요일 16:14:29 173 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 16:14:29 764 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-15 월요일 16:14:30 125 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-15 월요일 16:14:30 126 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-15 월요일 16:14:30 127 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-15 월요일 16:14:30 128 ] Settings_Page -> XMLSave 
[ default 2023-05-15 월요일 16:14:31 580 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 16:14:31 625 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-15 월요일 16:14:31 750 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-15 월요일 16:14:34 710 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 145 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 243 ] Settings_Page -> WorkUserChange 
